# 34b3faa4-5796-43db-a7b6-87bcb69240e9
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3924448, 29.7339304, 3.0300625
-13.5899164, 29.7538757, 3.0517642
-13.7903181, 29.7697283, 3.0734940
-13.9889441, 29.7811536, 3.0947484
-14.1893672, 29.7884078, 3.1160706
-14.3890987, 29.7913836, 3.1373620
-14.5890499, 29.7900688, -3.1241422
-14.7893870, 29.7843588, -3.1019647
-14.9886157, 29.7741956, -3.0791433
-15.1890091, 29.7592780, -3.0552843
-15.3872238, 29.7396722, -3.0304872
-15.5860775, 29.7148532, -3.0041221
-15.7836465, 29.6847503, -2.9764542
-15.9804026, 29.6490546, -2.9475939
-16.1763065, 29.6075142, -2.9175804
-16.3703932, 29.5602974, -2.8886036
-16.5635750, 29.5074916, -2.8611861
-16.7548748, 29.4496967, -2.8355193
-16.9448603, 29.3871301, -2.8116973
-17.1334021, 29.3202098, -2.7896190
-17.3203881, 29.2493087, -2.7689226
-17.5059002, 29.1746766, -2.7494878
-17.6901159, 29.0964891, -2.7310514
-17.8726821, 29.0150889, -2.7134428
-18.0540148, 28.9304611, -2.6965235
-18.2338246, 28.8428610, -2.6800458
-18.4120021, 28.7524386, -2.6639600
-18.5891350, 28.6589509, -2.6479792
-18.7641580, 28.5629792, -2.6320760
-18.9382971, 28.4638448, -2.6160077
-19.1103479, 28.3621738, -2.5996650
-19.2808060, 28.2576050, -2.5829252
-19.4496417, 28.1500278, -2.5655377
-19.6159073, 28.0399011, -2.5475009
-19.7811002, 27.9260253, -2.5284208
-19.9430058, 27.8096787, -2.5083654
-20.1034208, 27.6892861, -2.4869256
-20.2604586, 27.5658990, -2.4640563
-20.4148229, 27.2733, -1.9664272
-21.8396741, 25.5442534, -1.9094678
-21.9012975, 25.3530548, -1.8565953
-21.9527936, 25.1609712, -1.8098240
-21.9962036, 24.9646822, -1.7678062
-22.0314055, 24.7691372, -1.7307880
-22.0600475, 24.5704018, -1.6977887
-22.0824039, 24.3726005, -1.6696752
-22.0995399, 24.1736243, -1.6439890
-22.1117256, 23.9744843, -1.6200365
-22.1191369, 23.7748588, -1.5956014
-22.1215725, 23.5750793, -1.5701878
-22.1187950, 23.3749373, -1.5434314
-22.1105611, 23.1754556, -1.5154118
-22.0965332, 22.9755938, -1.4857890
-22.0765499, 22.7770231, -1.4551146
-22.0503273, 22.5783595, -1.4239482
-22.0180155, 22.3813151, -1.3924929
-21.9793487, 22.1848218, -1.3603963
-21.9344273, 21.9900723, -1.3276341
-21.8829789, 21.7967111, -1.2936468
-21.8248721, 21.6052626, -1.2584326
-21.7600306, 21.4161339, -1.2224606
-21.6882634, 21.2292473, -1.1859395
-21.6100693, 21.0453333, -1.1522040
-21.5258611, 20.8636846, -1.1217771
-21.4366842, 20.6848780, -1.0952121
-21.3429592, 20.5079886, -1.0725453
-21.2457647, 20.3334231, -1.0535551
-21.1454016, 20.1602787, -1.0379619
-21.0428346, 19.9888703, -1.0257182
-20.9382749, 19.8182756, -1.0166923
-20.8329211, 19.6492572, -1.0103752
-20.7261386, 19.4800686, -1.0054355
-20.6191401, 19.3121441, -1.0015377
-20.5111911, 19.1442784, -0.9969374
-20.4017119, 18.9758978, -0.9915455
-20.2926086, 18.8100849, -0.9861218
-20.1805286, 18.6417428, -0.9807004
-20.0699220, 18.4775166, -0.9754596
-19.9570048, 18.3117476, -0.9701821
-19.8433257, 18.1467316, -0.9649657
-19.7295249, 17.9833195, -0.9600620
-19.6134630, 17.8183496, -0.9553889
-19.4983292, 17.6562504, -0.9511021
-19.3817628, 17.4935532, -0.9471734
-19.2641496, 17.3306908, -0.9435870
-19.1469297, 17.1695198, -0.9404496
-19.0285417, 17.0077409, -0.9377257
-18.9099045, 16.8464741, -0.9354215
-18.7911194, 16.6857081, -0.9335660
-18.6718480, 16.5248359, -0.9321435
-18.5524042, 16.3641376, -0.9311458
-18.4329439, 16.2036818, -0.9305649
-18.3135613, 16.0434552, -0.9303998
-18.1936393, 15.8824938, -0.9306216
-18.0743571, 15.7222552, -0.9312146
-17.9550373, 15.5617035, -0.9321795
-17.8354790, 15.4004622, -0.9333881
-17.7171774, 15.2404776, -0.9348047
-17.5978451, 15.0785789, -0.9364590
-17.4793914, 14.9172821, -0.9383068
-17.3620805, 14.7568867, -0.9403518
-17.2433476, 14.5938732, -0.9421230
-17.1266248, 14.4331290, -0.9432529
-17.0089579, 14.2707935, -0.9439398
-16.8917632, 14.1088500, -0.9448115
-16.7752172, 13.9474665, -0.9459457
-16.6579440, 13.7845682, -0.9478764
-16.5422219, 13.6230011, -0.9507927
-16.4257228, 13.4591573, -0.9547796
-16.3109151, 13.2961489, -0.9597699
-16.1965160, 13.1317922, -0.9658918
-16.0834335, 12.9669733, -0.9732379
-15.9717569, 12.8013842, -0.9818814
-15.8613548, 12.6343252, -0.9920287
-15.7532408, 12.4667860, -1.0036959
-15.6466579, 12.2969704, -1.0172260
-15.5432163, 12.1267472, -1.0325945
-15.4418541, 11.9535746, -1.0502822
-15.3444336, 11.7797036, -1.0702822
-15.2501759, 11.6027076, -1.0931422
-15.1607206, 11.4243960, -1.1189950
-15.0758360, 11.2429311, -1.1479823
-14.9967694, 11.0596301, -1.1795997
-14.9235383, 10.8732963, -1.2129281
-14.8565925, 10.6851275, -1.2447853
-14.7954130, 10.4946146, -1.2750301
-14.7399107, 10.3026995, -1.3031612
-14.6895658, 10.1091072, -1.3293373
-14.6442139, 9.9144787, -1.3541792
-14.6035969, 9.7188319, -1.3778928
-14.5675515, 9.5222388, -1.4008938
-14.5360354, 9.3253117, -1.4234364
-14.5090023, 9.1271212, -1.4472210
-14.4868468, 8.9288556, -1.4720004
-14.4696908, 8.7294420, -1.4981694
-14.4578849, 8.5299548, -1.5251279
-14.4513495, 8.3300566, -1.5508577
-14.4498164, 8.1300067, -1.5751594
-14.4529810, 7.9302410, -1.5978505
-14.4605492, 7.7300638, -1.6190881
-14.4721913, 7.5308445, -1.6390743
-14.4878035, 7.3308273, -1.6581470
-14.5069960, 7.1324249, -1.6761695
-14.5298487, 6.9329866, -1.6934590
-14.5558382, 6.7354121, -1.7094528
-14.5849961, 6.5371767, -1.7239636
-14.6167678, 6.3400108, -1.7369118
-14.6509980, 6.1429256, -1.7483663
-14.6873507, 5.9461574, -1.7583723
-14.7254706, 5.7500852, -1.7670544
-14.7653122, 5.5536348, -1.7745210
-14.8062953, 5.3584465, -1.7808131
-14.8486045, 5.1625686, -1.7860627
-14.8916678, 4.9676604, -1.7902589
-14.9355553, 4.7724576, -1.7934781
-14.9799615, 4.5774446, -1.7957414
-15.0246497, 4.3828168, -1.7970966
-15.0697058, 4.1874077, -1.7975771
-15.1144448, 3.9935988, -1.7977823
-15.1595962, 3.7982736, -1.7981816
-15.2045941, 3.6040569, -1.7988188
-15.2498457, 3.4094996, -1.7998976
-15.2956415, 3.2137577, -1.8014122
-15.3412469, 3.0202324, -1.8030459
-15.3876118, 2.8249166, -1.8046857
-15.4340721, 2.6306109, -1.8063108
-15.4808391, 2.4364141, -1.8079262
-15.5282271, 2.2410280, -1.8095466
-15.5754807, 2.0475364, -1.8110774
-15.6232671, 1.8531026, -1.8124852
-15.6713361, 1.6586482, -1.8137676
-15.7195182, 1.4647423, -1.8148979
-15.7680096, 1.2704685, -1.8158808
-15.8166526, 1.0763384, -1.8167157
-15.8654177, 0.8823464, -1.8173998
-15.9142696, 0.6885088, -1.8179354
-15.9633549, 0.4941336, -1.8183566
-16.0123573, 0.3003929, -1.8186854
-16.0614702, 0.1064474, -1.8189308
-16.1107337, -0.0879031, -1.8191600
-16.1597236, -0.2809891, -1.8193873
