# 8672bd6f-43e1-48b2-8a4c-731690d62e69
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3880579, 29.8556262, 2.9714667
-13.5834721, 29.8877392, 2.9861918
-13.7822439, 29.9172475, 3.0024461
-13.9793871, 29.9431517, 3.0195743
-14.1783425, 29.9657437, 3.0376027
-14.3774021, 29.9846443, 3.0563746
-14.5762895, 29.9997006, 3.0758107
-14.7768476, 30.0108831, 3.0960935
-14.9755712, 30.0178819, 3.1167761
-15.1761691, 30.0207192, 3.1382225
-15.3755515, 30.0192178, -3.1230802
-15.5753296, 30.0132854, -3.1006457
-15.7753425, 30.0027927, -3.0776276
-15.9741451, 29.9877319, -3.0542580
-16.1735291, 29.9678734, -3.0302990
-16.3715418, 29.9433090, -3.0059743
-16.5692250, 29.9138429, -2.9812030
-16.7663235, 29.8794048, -2.9559475
-16.9620370, 29.8400568, -2.9303692
-17.1570564, 29.7955855, -2.9043412
-17.3506190, 29.7460730, -2.8779387
-17.5428278, 29.6914277, -2.8511992
-17.7335726, 29.6316009, -2.8240577
-17.9225699, 29.5666033, -2.7966064
-18.1096187, 29.4964458, -2.7688445
-18.2947969, 29.4210212, -2.7407156
-18.4776786, 29.3404370, -2.7123447
-18.6580182, 29.2547533, -2.6836847
-18.8362317, 29.1636930, -2.6547091
-19.0112680, 29.0677448, -2.6255679
-19.1837667, 28.9665022, -2.5960947
-19.3531112, 28.8602608, -2.5664557
-19.5188043, 28.7493159, -2.5366495
-19.6819095, 28.6328735, -2.5065118
-19.8406534, 28.5121592, -2.4763456
-19.9962222, 28.3862333, -2.4458585
-20.1476886, 28.2557772, -2.4152791
-20.2946729, 28.1211245, -2.3845871
-20.4382982, 27.9811557, -2.3535688
-20.5764618, 27.8379037, -2.3226265
-20.7111692, 27.6892291, -2.2912491
-20.8404623, 27.5372116, -2.2598982
-20.9650596, 27.3810096, -2.2282963
-21.0848854, 27.2206073, -2.1964648
-21.1987910, 27.0575518, -2.1646136
-21.3085103, 26.8892165, -2.1322068
-21.4114385, 26.7195530, -2.0999411
-21.5101341, 26.5442023, -2.0669050
-21.6018986, 26.3677862, -2.0339140
-21.6885166, 26.1867640, -2.0001908
-21.7683657, 26.0042745, -1.9662284
-21.8423064, 25.8181378, -1.9314935
-21.9093822, 25.6303652, -1.8961480
-21.9698942, 25.4396835, -1.8599314
-22.0232547, 25.2475406, -1.8233722
-22.0696790, 25.0529454, -1.7868017
-22.1089869, 24.8575406, -1.7521549
-22.1418088, 24.6602951, -1.7196503
-22.1684011, 24.4628505, -1.6902578
-22.1894776, 24.2646108, -1.6632855
-22.2053178, 24.0652601, -1.6370998
-22.2159428, 23.8667973, -1.6112805
-22.2213668, 23.6661606, -1.5842260
-22.2213096, 23.4674210, -1.5566687
-22.2156198, 23.2667628, -1.5281101
-22.2042638, 23.0682152, -1.4990953
-22.1868938, 22.8682351, -1.4691030
-22.1637162, 22.6706649, -1.4388546
-22.1342231, 22.4720422, -1.4078298
-22.0988998, 22.2762650, -1.3766966
-22.0570377, 22.0798325, -1.3448836
-22.0093995, 21.8866779, -1.3130592
-21.9551685, 21.6936486, -1.2807028
-21.8950759, 21.5035982, -1.2484516
-21.8286202, 21.3147820, -1.2163357
-21.7563700, 21.1286561, -1.1850231
-21.6784097, 20.9445484, -1.1558144
-21.5953374, 20.7627855, -1.1288048
-21.5076491, 20.5832737, -1.1044537
-21.4157795, 20.4056918, -1.0827400
-21.3204285, 20.2302279, -1.0637424
-21.2218447, 20.0562173, -1.0473879
-21.1208848, 19.8840750, -1.0338203
-21.0175724, 19.7127361, -1.0230388
-20.9132570, 19.5434129, -1.0144635
-20.8069022, 19.3738092, -1.0071744
-20.7002169, 19.2061762, -1.0008446
-20.5918372, 19.0383348, -0.9939134
