# 009f06b5-64fb-47d5-ab68-b8db9ad5277e
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3928951, 29.7214401, 3.1040001
-13.5914906, 29.7251570, 3.1368068
-13.7923546, 29.7252573, 3.1406120
-13.9912297, 29.7265398, 3.1313783
-14.1917789, 29.7285420, 3.1338013
-14.3909418, 29.7291857, 3.1412010
-14.5908086, 29.7298554, 3.1323972
-14.7916717, 29.7338384, 3.1127638
-14.9916260, 29.7381229, 3.1368915
-15.1917643, 29.7319610, -3.0661185
-15.3891251, 29.7098163, -3.0068451
-15.5879925, 29.6834971, -3.0260188
-15.7879507, 29.6660641, -3.0691086
-15.9873803, 29.6465682, -2.9988859
-16.1803690, 29.6018662, -2.8173132
-16.3636740, 29.5246486, -2.6853737
-16.5422462, 29.4311439, -2.6483680
-16.7200706, 29.3372786, -2.6623662
-16.8974073, 29.2458221, -2.6668146
-17.0747702, 29.1542413, -2.6624297
-17.2521841, 29.0616948, -2.6597516
-17.4290145, 28.9692687, -2.6607805
-17.6067756, 28.8766632, -2.6612265
-17.7836431, 28.7841914, -2.6578207
-17.9605013, 28.6907285, -2.6545342
-18.1374167, 28.5977412, -2.6628825
-18.3156832, 28.5072377, -2.6800006
-18.4946269, 28.4172275, -2.6633873
-18.6688836, 28.3207025, -2.6002248
-18.8368279, 28.2113324, -2.5352535
-18.9991350, 28.0950158, -2.5111006
-19.1614343, 27.9771185, -2.5163609
-19.3235734, 27.8604958, -2.5189753
-19.4857399, 27.7439509, -2.5175504
-19.6480919, 27.6268946, -2.5164811
-19.8097730, 27.5102178, -2.5166937
-19.9723100, 27.3930910, -2.5177376
-20.1341209, 27.2768197, -2.5193997
-20.2970361, 27.1600663, -2.5195918
-20.4590307, 27.0436019, -2.5163693
-20.6207574, 26.9265311, -2.5156560
-20.7833156, 26.8102272, -2.5275924
-20.9481353, 26.6959406, -2.5370869
-21.1111473, 26.5798693, -2.5002311
-21.2670721, 26.4536485, -2.4168077
-21.4100393, 26.3139793, -2.3167052
-21.5369472, 26.1603048, -2.2033211
-21.6449598, 25.9920472, -2.0776431
-21.7298417, 25.8117750, -1.9476336
-21.7964512, 25.6228069, -1.8865768
-21.8596175, 25.4329234, -1.9020765
-21.9216531, 25.2428774, -1.8531714
-21.9646085, 25.0486457, -1.7224785
-21.9879420, 24.8496330, -1.6707777
-22.0110373, 24.6503892, -1.7027566
-22.0363773, 24.4530357, -1.6819866
-22.0520137, 24.2546922, -1.6223856
-22.0603713, 24.0546721, -1.6115386
-22.0700736, 23.8560501, -1.6264314
-22.0820651, 23.6557668, -1.6333533
-22.0939315, 23.4575670, -1.6244381
-22.1021454, 23.2565370, -1.5952648track_2
-21.5084402, 20.9638487, -0.9728537
-21.3993156, 20.7953777, -1.0155647
-21.2956503, 20.6250345, -1.0270051
-21.1913942, 20.4548499, -1.0153949
-21.0854562, 20.2852354, -1.0111211
-20.9795693, 20.1157431, -1.0139721
-20.8740845, 19.9459638, -1.0153280
-20.7688696, 19.7765662, -1.0143869
-20.6633732, 19.6072718, -1.0125705
-20.5572561, 19.4377721, -1.0101829
-20.4513999, 19.2697847, -1.0065982
-20.3429393, 19.0992907, -1.0016323
-20.2361134, 18.9332977, -0.9963061
-20.1261348, 18.7643992, -0.9909259
-20.0167071, 18.5982861, -0.9856686
-19.9058603, 18.4319213, -0.9804550
-19.7934124, 18.2650399, -0.9752812
-19.6816751, 18.1009922, -0.9704816
-19.5675555, 17.9351100, -0.9659740
-19.4538572, 17.7713574, -0.9618717
-19.3392902, 17.6077131, -0.9582094
-19.2232131, 17.4431291, -0.9549354
-19.1080964, 17.2809528, -0.9521620
-18.9917482, 17.1179194, -0.9498583
-18.8749796, 16.9550112, -0.9480203
-18.7583971, 16.7929071, -0.9466865
-18.6412916, 16.6304487, -0.9458440
-18.5241393, 16.4681302, -0.9454891
-18.4070649, 16.3059571, -0.9456261
-18.2901740, 16.1439074, -0.9462561
-18.1729777, 15.9811332, -0.9473790
-18.0563672, 15.8187065, -0.9489828
-17.9402871, 15.6563850, -0.9510847
-17.8237689, 15.4926438, -0.9536377
