# a8f9e966-10c0-4cfb-8807-4880cab69f21
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3925251, 29.7317045, 3.0355326
-13.5901656, 29.7505357, 3.0576485
-13.7906855, 29.7651606, 3.0798925
-13.9894270, 29.7752658, 3.1016200
-14.1899342, 29.7811180, 3.1231564
-14.3896980, 29.7826817, -3.1388557
-14.5896851, 29.7800358, -3.1179076
-14.7899859, 29.7732039, -3.0971214
-14.9892135, 29.7622899, -3.0766441
-15.1896299, 29.7471926, -3.0561904
-15.3878855, 29.7282065, -3.0360707
-15.5870390, 29.7050822, -3.0159396
-15.7850014, 29.6780627, -2.9959600
-15.9825963, 29.6470659, -2.9760284
-16.1798602, 29.6120789, -2.9560854
-16.3757685, 29.5732945, -2.9362080
-16.5715681, 29.5304603, -2.9162223
-16.7658243, 29.4838770, -2.8962323
-16.9594264, 29.4333250, -2.8761121
-17.1519920, 29.3788681, -2.8558468
-17.3432586, 29.3205526, -2.8354318
-17.5334540, 29.2582695, -2.8147882
-17.7222145, 29.1920876, -2.7939129
-17.9095154, 29.1219654, -2.7727634
-18.0953820, 29.0478262, -2.7512781
-18.2795555, 28.9696987, -2.7294493
-18.4617808, 28.8876189, -2.7072414
-18.6425307, 28.8012724, -2.6845513
-18.8207793, 28.7110529, -2.6614479
-18.9973045, 28.6164552, -2.6377620
-19.1712883, 28.5177872, -2.6135564
-19.3426368, 28.4149868, -2.5887576
-19.5118472, 28.3075906, -2.5632424
-19.6773618, 28.1964502, -2.5371579
-19.8409756, 28.0801671, -2.5101374
-20.0005271, 27.9600734, -2.4824587
-20.1570281, 27.8352228, -2.4538282
-20.3097913, 27.7059104, -2.4242919
-20.4581581, 27.5724802, -2.3938319
-20.6031319, 27.4337150, -2.3621283
-20.7422995, 27.2916639, -2.3295489
-20.8782404, 27.1433033, -2.2953083
-21.0076359, 26.9918439, -2.2600416
-21.1324371, 26.8345892, -2.2229702
-21.2504965, 26.6737062, -2.1844630
-21.3625488, 26.5076378, -2.1439383
-21.4673624, 26.3374751, -2.1014335
-21.5647298, 26.1627608, -2.0566785
-21.6540383, 25.9837439, -2.0101217
-21.7346817, 25.8008767, -1.9620841
-21.8066221, 25.6141178, -1.9151796
-21.8698133, 25.4245229, -1.8701945
-21.9246846, 25.2321917, -1.8276868
-21.9716096, 25.0377831, -1.7880770
-22.0110404, 24.8419795, -1.7514712
-22.0436292, 24.6446406, -1.7179756
-22.0698571, 24.4469332, -1.6880419
-22.0904971, 24.2485167, -1.6610048
-22.1059110, 24.0489094, -1.6349781
-22.1161404, 23.8503184, -1.6093380
-22.1211854, 23.6496139, -1.5823602
-22.1207449, 23.4505165, -1.5546424
-22.1146195, 23.2499298, -1.5257360
-22.1026999, 23.0509355, -1.4960373
-22.0846533, 22.8511746, -1.4652303
-22.0605570, 22.6531513, -1.4341287
-22.0300936, 22.4548875, -1.4024847
-21.9935561, 22.2587472, -1.3707165
-21.9505187, 22.0627868, -1.3384328
-21.9014396, 21.8694169, -1.3059743
-21.8457272, 21.6766366, -1.2728818
-21.7840312, 21.4869160, -1.2399239
-21.7157218, 21.2982620, -1.2068645
-21.6417312, 21.1129528, -1.1753998
-21.5618406, 20.9291935, -1.1464004
-21.4771637, 20.7482720, -1.1202192
-21.3878675, 20.5691183, -1.0970992
-21.2948547, 20.3921780, -1.0770436
-21.1984927, 20.2168507, -1.0599502
-21.0994644, 20.0431563, -1.0458029
-20.9982408, 19.8707210, -1.0346412
-20.8954552, 19.6994446, -1.0263490
-20.7915924, 19.5292409, -1.0196412
-20.6860533, 19.3586362, -1.0141549
-20.5808727, 19.1906182, -1.0086511
-20.4727990, 19.0202430, -1.0022650
-20.3655806, 18.8536465, -0.9956531
-20.2558781, 18.6856260, -0.9891285
-20.1453280, 18.5186664, -0.9827644
-20.0343010, 18.3532585, -0.9765297
-19.9205149, 18.1860061, -0.9702761
-19.8081279, 18.0229589, -0.9643716
-19.6933433, 17.8584720, -0.9587315
-19.5776910, 17.6946638, -0.9534057
-19.4618849, 17.5324059, -0.9485094
-19.3442995, 17.3692892, -0.9439576
-19.2268631, 17.2078631, -0.9398304
-19.1085757, 17.0465938, -0.9361505
-18.9892767, 16.8851234, -0.9328857
-18.8700942, 16.7248319, -0.9300806
-18.7502648, 16.5645359, -0.9277231
-18.6299944, 16.4043653, -0.9258018
-18.5094940, 16.2444570, -0.9243114
-18.3890266, 16.0850163, -0.9232488
-18.2680231, 15.9251498, -0.9226001
-18.1470808, 15.7655149, -0.9223398
-18.0268454, 15.6068342, -0.9224731
-17.9052850, 15.4463012, -0.9229338
-17.7847644, 15.2869503, -0.9236299
-17.6644527, 15.1276038, -0.9245774
-17.5433823, 14.9668934, -0.9257803
-17.4240671, 14.8080759, -0.9272276
-17.3034612, 14.6470238, -0.9287578
-17.1838350, 14.4868466, -0.9298018
-17.0649430, 14.3273936, -0.9303404
-16.9449082, 14.1662169, -0.9310766
-16.8264715, 14.0068655, -0.9322715
-16.7068625, 13.8454210, -0.9342609
-16.5884782, 13.6847577, -0.9374856
-16.4704180, 13.5232257, -0.9420212
