# c4d178e8-c59c-47dd-a36b-f2f9b135f00c
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3921272, 29.7427420, 3.0052606
-13.5887352, 29.7678373, 3.0241192
-13.7885053, 29.7894299, 3.0438143
-13.9865048, 29.8068732, 3.0636569
-14.1864294, 29.8204608, 3.0838457
-14.3858619, 29.8299596, 3.1041892
-14.5855099, 29.8353796, 3.1247516
-14.7859145, 29.8366675, -3.1375671
-14.9850792, 29.8337862, -3.1166599
-15.1858465, 29.8266455, -3.0953865
-15.3844642, 29.8153484, -3.0741404
-15.5840387, 29.7997078, -3.0525924
-15.7828442, 29.7797929, -3.0308848
-15.9810519, 29.7555668, -3.0090255
-16.1793421, 29.7268912, -2.9868836
-16.3759967, 29.6939823, -2.9646580
-16.5725904, 29.6565460, -2.9421442
-16.7679085, 29.6147553, -2.9194400
-16.9622933, 29.5685038, -2.8965176
-17.1557669, 29.5177279, -2.8733100
-17.3477128, 29.4625394, -2.8498977
-17.5384758, 29.4027930, -2.8261982
-17.7277411, 29.3385210, -2.8022084
-17.9153468, 29.2697232, -2.7779531
-18.1012263, 29.1963621, -2.7533688
-18.2853511, 29.1183743, -2.7284653
-18.4671665, 29.0359351, -2.7032656
-18.6472428, 28.9487016, -2.6776459
-18.8247307, 28.8570030, -2.6517235
-18.9997357, 28.7607152, -2.6254007
-19.1724418, 28.6596322, -2.5986552
-19.3416675, 28.5543767, -2.5716002
-19.5089066, 28.4439001, -2.5439515
-19.6723239, 28.3292991, -2.5159884
-19.8326842, 28.2099499, -2.4874866
-19.9896748, 28.0859411, -2.4584975
-20.1422804, 27.9579909, -2.4291065
-20.2921420, 27.8245457, -2.3989573
-20.4367354, 27.6877146, -2.3684790
-20.5780717, 27.5454330, -2.3371458
-20.7141565, 27.3995040, -2.3053444
-20.8457113, 27.2490001, -2.2727616
-20.9723398, 27.0941147, -2.2394195
-21.0931701, 26.9357227, -2.2053815
-21.2092486, 26.7721185, -2.1702130
-21.3183564, 26.6061639, -2.1343998
-21.4226073, 26.4342063, -2.0970138
-21.5189667, 26.2608285, -2.0588953
-21.6097946, 26.0812344, -2.0189654
-21.6921810, 25.9006368, -1.9783929
-21.7680076, 25.7144133, -1.9365747
-21.8351756, 25.5276117, -1.8953782
-21.8953043, 25.3358370, -1.8539881
-21.9469018, 25.1442528, -1.8139088
-21.9914459, 24.9482170, -1.7749600
-22.0281876, 24.7529471, -1.7390524
-22.0584066, 24.5548408, -1.7058547
-22.0822483, 24.3573150, -1.6765621
-22.1005479, 24.1586067, -1.6488798
-22.1134586, 23.9597417, -1.6224834
-22.1211004, 23.7600812, -1.5954732
-22.1232693, 23.5606122, -1.5677493
