# 7bf9251f-8047-4244-8ee8-a3d477fffdd8
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3916515, 29.7559391, 2.9694927
-13.5870077, 29.7883992, 2.9846200
-13.7858527, 29.8181921, 3.0013291
-13.9828838, 29.8442613, 3.0188941
-14.1819841, 29.8669615, 3.0373724
-14.3809042, 29.8858534, 3.0565581
-14.5799621, 29.9008420, 3.0764323
-14.7803638, 29.9118500, 3.0971191
-14.9792639, 29.9186089, 3.1182219
-15.1800785, 29.9211159, 3.1400960
-15.3792409, 29.9192065, -3.1208426
-15.5791932, 29.9127803, -3.0980005
-15.7789904, 29.9017324, -3.0746228
-15.9779086, 29.8860228, -3.0508658
-16.1773948, 29.8654306, -3.0265105
-16.3751342, 29.8401055, -3.0018530
-16.5728275, 29.8097666, -2.9767052
-16.7696539, 29.7744275, -2.9511079
-16.9652726, 29.7340764, -2.9251724
-17.1601421, 29.6885350, -2.8987755
-17.3533608, 29.6379292, -2.8720471
-17.5452878, 29.5821036, -2.8449577
-17.7356681, 29.5210462, -2.8174693
-17.9242399, 29.4547678, -2.7896869
-18.1107737, 29.3832906, -2.7615792
-18.2954853, 29.3064494, -2.7331099
-18.4776835, 29.2244705, -2.7044112
-18.6575067, 29.1372345, -2.6753778
-18.8348549, 29.0447160, -2.6460915
-19.0089067, 28.9473104, -2.6166205
-19.1807493, 28.8443297, -2.5867684
-19.3489017, 28.7366011, -2.5568141
-19.5138616, 28.6237758, -2.5265796
-19.6755494, 28.5058324, -2.4961379
-19.8327319, 28.3836707, -2.4656423
-19.9873797, 28.2556668, -2.4347004
-20.1370291, 28.1237968, -2.4037969
-20.2829837, 27.9868982, -2.3725762
-20.4245126, 27.8455739, -2.3412321
-20.5610210, 27.7004268, -2.3097936
-20.6938245, 27.5499506, -2.2779601
-20.8205447, 27.3968261, -2.2462371
-20.9436663, 27.2379567, -2.2139316
-21.0605759, 27.0766115, -2.1817012
-21.1727841, 26.9106761, -2.1490189
-21.2792112, 26.7416069, -2.1161658
-21.3799390, 26.5692238, -2.0829950
-21.4751481, 26.3930289, -2.0493607
-21.5638489, 26.2147458, -2.0154881
-21.6470175, 26.0321568, -1.9808433
-21.7231025, 25.8484425, -1.9459336
-21.7933083, 25.6603278, -1.9099117
-21.8560257, 25.4716532, -1.8733787
-21.9122185, 25.2790484, -1.8358800
-21.9607621, 25.0859715, -1.7983580
-22.0023620, 24.8900264, -1.7619717
-22.0368608, 24.6937235, -1.7279532
-22.0649908, 24.4959450, -1.6967679
-22.0872153, 24.2980768, -1.6688239
-22.1040615, 24.0990245, -1.6418232
-22.1155926, 23.9004110, -1.6156321
-22.1218529, 23.6998487, -1.5882083
-22.1225437, 23.5010635, -1.5602048
-22.1175001, 23.3000118, -1.5311001
-22.1067101, 23.1017569, -1.5016291
-22.0897645, 22.9014281, -1.4710728
-22.0669612, 22.7040607, -1.4404163
-22.0377139, 22.5051962, -1.4090650
-22.0026410, 22.3095074, -1.3778144
-21.9609919, 22.1129912, -1.3460424
-21.9135896, 21.9197543, -1.3144328
-21.8596446, 21.7265888, -1.2824713
-21.7999410, 21.5364188, -1.2507945
-21.7339673, 21.3473487, -1.2194019
-21.6623844, 21.1610012, -1.1890219
-21.5852201, 20.9764665, -1.1608209
-21.5031759, 20.7942836, -1.1349261
-21.4166584, 20.6141183, -1.1117364
-21.3262076, 20.4358480, -1.0912387
-21.2324301, 20.2594647, -1.0734859
-21.1356715, 20.0844642, -1.0584160
-21.0367045, 19.9111104, -1.0461585
-20.9356214, 19.7384325, -1.0366887
-20.8337577, 19.5677248, -1.0290892
-20.7297147, 19.3961296, -1.0225860
-20.6260034, 19.2274022, -1.0166113
-20.5199241, 19.0572755, -1.0097734
-20.4131962, 18.8887994, -1.0024359
-20.3052691, 18.7211505, -0.9952242
-20.1949546, 18.5524596, -0.9881082
-20.0853766, 18.3874239, -0.9812417
-19.9729735, 18.2206307, -0.9743695
-19.8604744, 18.0561140, -0.9677132
-19.7467295, 17.8920700, -0.9613975
-19.6309435, 17.7272665, -0.9553485
-19.5158209, 17.5654205, -0.9497629
-19.3988123, 17.4027904, -0.9445375
-19.2810450, 17.2408321, -0.9396975
-19.1629766, 17.0800223, -0.9353331
-19.0436840, 16.9189502, -0.9313951
-18.9241287, 16.7587714, -0.9279067
-18.8040520, 16.5989811, -0.9248874
-18.6834336, 16.4394000, -0.9223183
-18.5623502, 16.2799830, -0.9201926
-18.4411843, 16.1210858, -0.9185125
-18.3197477, 15.9623152, -0.9172693
-18.1977898, 15.8032051, -0.9164363
-18.0764283, 15.6450781, -0.9160181
-17.9543628, 15.4861049, -0.9159879
-17.8324403, 15.3272813, -0.9162347
-17.7117266, 15.1699075, -0.9167555
-17.5890122, 15.0097035, -0.9175748
-17.4679472, 14.8513376, -0.9186820
-17.3468687, 14.6925404, -0.9200447
-17.2253784, 14.5327872, -0.9211176
-17.1057969, 14.3752673, -0.9217331
-16.9841133, 14.2147969, -0.9223838
-16.8639588, 14.0560302, -0.9236363
-16.7436305, 13.8965057, -0.9256500
-16.6236218, 13.7365258, -0.9289863
