# ec08ecf0-cba4-44f0-8b07-3b2480c7cfbd
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-7.6919255, 29.3031542, 3.0777703
-7.8911935, 29.3136391, 3.1000008
-8.0911294, 29.3198710, 3.1205729
-8.2906279, 29.3221628, 3.1393628
-8.4906058, 29.3208610, -3.1266100
-8.6903431, 29.3162806, -3.1109516
-8.8899445, 29.3087053, -3.0965716
-9.0898025, 29.2983608, -3.0833829
-9.2888343, 29.2855348, -3.0712506
-9.4887621, 29.2702999, -3.0599783
-9.6871868, 29.2530199, -3.0495893
-9.8864396, 29.2336444, -3.0398375
-10.0849491, 29.2124543, -3.0307535
-10.2834437, 29.1894921, -3.0221754
-10.4821058, 29.1648299, -3.0140672
-10.6798031, 29.1387017, -3.0063735
-10.8783832, 29.1109312, -2.9989792
-11.0755329, 29.0819081, -2.9919154
-11.2732566, 29.0513909, -2.9850363
-11.4706166, 29.0195593, -2.9783538
-11.6674974, 28.9864664, -2.9717880
-11.8649920, 28.9519417, -2.9652822
-12.0610711, 28.9163567, -2.9588419
-12.2577394, 28.8793497, -2.9523484
-12.4538807, 28.8411194, -2.9458366
-12.6496831, 28.8016285, -2.9393105
-12.8457784, 28.7607410, -2.9327454
-13.0407877, 28.7187586, -2.9264061
-13.2360886, 28.6754515, -2.9204085
-13.4309669, 28.6310467, -2.9147683
-13.6255125, 28.5855995, -2.9094942
-13.8201945, 28.5390721, -2.9045671
-14.0141591, 28.4917387, -2.8999546
-14.2081855, 28.4434663, -2.8955886
-14.4019835, 28.3943766, -2.8914599
-14.5954930, 28.3445276, -2.8875052
-14.7889347, 28.2938956, -2.8837059
-14.9821336, 28.2425557, -2.8800238
-15.1751172, 28.1905180, -2.8764029
-15.3679559, 28.1377754, -2.8728466
-15.5606674, 28.0843483, -2.8694839
-15.7529243, 28.0303744, -2.8663523
-15.9453544, 27.9757227, -2.8634184
-16.1374266, 27.9205808, -2.8606528
-16.3292721, 27.8649465, -2.8580520
-16.5212068, 27.8087569, -2.8555574
-16.7127288, 27.7521789, -2.8531577
-16.9043673, 27.6950745, -2.8508291
-17.0957646, 27.6375602, -2.8485361
-17.2869442, 27.5796365, -2.8462757
-17.4781932, 27.5212193, -2.8440046
-17.6690888, 27.4624334, -2.8417122
-17.8600301, 27.4031503, -2.8393781
-18.0507580, 27.3434372, -2.8369669
-18.2412664, 27.2832797, -2.8344752
-18.4317776, 27.2225868, -2.8318594
-18.6219592, 27.1614361, -2.8291076
-18.8121018, 27.0997058, -2.8262224
-19.0020085, 27.0374338, -2.8232235
-19.1916747, 26.9745984, -2.8201220
-19.3812519, 26.9111449, -2.8171125
-19.5705323, 26.8471748, -2.8142750
-19.7597246, 26.7826540, -2.8116147
-19.9487157, 26.7176607, -2.8091497
-20.1375272, 26.6522290, -2.8068790
-20.3262481, 26.5863655, -2.8047644
-20.5147817, 26.5201352, -2.8027946
-20.7032270, 26.4535331, -2.8009545
-20.8915408, 26.3865983, -2.7992167
-21.0797325, 26.3193490, -2.7975785
-21.2678271, 26.2517949, -2.7960127
-21.4558221, 26.1839510, -2.7945112
-21.6436953, 26.1158381, -2.7930635
-21.8314922, 26.0474489, -2.7916508
-22.0191877, 25.9787999, -2.7902705
-22.2067671, 25.9099004, -2.7888929
-22.3943193, 25.8407169, -2.7875100
-22.5817057, 25.7712998, -2.7861267
-22.7690372, 25.7016086, -2.7847471
-22.9562865, 25.6316545, -2.7833811
-23.1434248, 25.5614600, -2.7821189
-23.3304590, 25.4910484, -2.7809807
-23.5174479, 25.4204229, -2.7799487
-23.7043389, 25.3496228, -2.7790012
-23.8911676, 25.2786529, -2.7781368
-24.0779494, 25.2075239, -2.7773448
-24.2646582, 25.1362608, -2.7766232
-24.4513445, 25.0648589, -2.7759645
-24.6379675, 24.9933462, -2.7753606
-24.8245521, 24.9217247, -2.7748101
