# 9c78c7c9-f03e-496c-993b-05fc3e514990
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-7.6588371, 29.5328105, 2.8859039
-7.8515181, 29.5821482, 2.8959769
-8.0461365, 29.6298667, 2.9063483
-8.2402603, 29.6753224, 2.9168298
-8.4353744, 29.7188427, 2.9274586
-8.6312896, 29.7603475, 2.9382162
-8.8266651, 29.7995399, 2.9490450
-9.0241301, 29.8369096, 2.9600899
-9.2199206, 29.8717280, 2.9711186
-9.4174366, 29.9045943, 2.9823049
-9.6150421, 29.9352014, 2.9935542
-9.8125327, 29.9635168, 3.0048278
-10.0117683, 29.9897803, 3.0162357
-10.2092650, 30.0135333, 3.0275600
-10.4082667, 30.0351757, 3.0389707
-10.6073835, 30.0545327, 3.0503965
-10.8061837, 30.0715722, 3.0617812
-11.0062243, 30.0864207, 3.0732223
-11.2052241, 30.0989117, 3.0845824
-11.4049154, 30.1091707, 3.0959395
-11.6050236, 30.1171741, 3.1072946
-11.8044623, 30.1228917, 3.1185607
-12.0046132, 30.1263747, 3.1298181
-12.2044715, 30.1276077, 3.1410182
-12.4042737, 30.1266096, -3.1310375
-12.6044839, 30.1233842, -3.1199374
-12.8041000, 30.1179600, -3.1089302
-13.0038880, 30.1103365, -3.0979868
-13.2036685, 30.1005285, -3.0871005
-13.4031645, 30.0885651, -3.0763066
-13.6025909, 30.0744520, -3.0655895
-13.8018974, 30.0582059, -3.0549443
-14.0009797, 30.0398526, -3.0443977
-14.1997237, 30.0194241, -3.0339434
-14.3985518, 29.9968907, -3.0235599
-14.5969075, 29.9723333, -3.0132835
-14.7949444, 29.9457551, -3.0030943
-14.9930435, 29.9171196, -2.9929963
-15.1903801, 29.8865706, -2.9830309
-15.3877561, 29.8540061, -2.9731387
-15.5847755, 29.8195023, -2.9633155
-15.7808313, 29.7831882, -2.9535843
-15.9774498, 29.7447957, -2.9439741
-16.1731477, 29.7046595, -2.9346876
-16.3684270, 29.6627478, -2.9257183
-16.5636858, 29.6190386, -2.9170823
