# 33c5708d-e0e4-479a-aace-4d57cce585ae
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-7.6919255, 29.3031542, 3.0844730
-7.8911477, 29.3067402, -3.1293550
-8.0915810, 29.3016747, -3.1118157
-8.2915559, 29.2974152, -3.1296743
-8.4914279, 29.2967882, 3.1363241
-8.6910844, 29.2991719, 3.1268782
-8.8909189, 29.3000732, -3.1291531
-9.0908680, 29.2915814, -3.0650289
-9.2893405, 29.2713743, -3.0223549
-9.4886240, 29.2467130, -3.0214702
-9.6868999, 29.2244875, -3.0363688
-9.8859947, 29.2039021, -3.0386614
-10.0844634, 29.1827911, -3.0331272
-10.2832269, 29.1612393, -3.0355744
-10.4825396, 29.1410069, -3.0455485
-10.6811661, 29.1216376, -3.0391963
-10.8804461, 29.0984981, -3.0088491
-11.0774446, 29.0684334, -2.9752117
-11.2746693, 29.0338349, -2.9644592
-11.4716873, 28.9992571, -2.9725328
-11.6687063, 28.9662611, -2.9777314
-11.8665699, 28.9335463, -2.9767293
-12.0631541, 28.9005748, -2.9745387
-12.2606503, 28.8672674, -2.9749197
-12.4579075, 28.8341854, -2.9741223
-12.6547894, 28.7994459, -2.9567317
-12.8510414, 28.7594334, -2.9213755
-13.0450509, 28.7126093, -2.8917822
-13.2387308, 28.6619876, -2.8836721
-13.4322947, 28.6117333, -2.8921850
-13.6261576, 28.5629730, -2.8972242
-13.8204522, 28.5145524, -2.8965475
-14.0141783, 28.4658517, -2.8943713
-14.2081467, 28.4168292, -2.8940154
-14.4020892, 28.3679102, -2.8950078
-14.5959784, 28.3191111, -2.8947796
-14.7899683, 28.2700733, -2.8929405
-14.9837369, 28.2207450, -2.8924637
-15.1776341, 28.1717662, -2.8966472
-15.3719562, 28.1239693, -2.9035684
-15.5663695, 28.0764282, -2.8971209
-15.7596425, 28.0260880, -2.8735926
-15.9518241, 27.9701704, -2.8459127
-16.1426662, 27.9106159, -2.8351792
-16.3333328, 27.8506501, -2.8404719
-16.5245973, 27.7918959, -2.8458619
-16.7157696, 27.7338097, -2.8465896
-16.9071534, 27.6754358, -2.8446176
-17.0983189, 27.6168215, -2.8437357
-17.2894078, 27.5581692, -2.8439841
-17.4806916, 27.4995534, -2.8444992
-17.6717993, 27.4410967, -2.8449906
-17.8631254, 27.3826540, -2.8451108
-18.0543370, 27.3241602, -2.8441474
-18.2454023, 27.2653993, -2.8423315
-18.4365491, 27.2064830, -2.8436273
-18.6277822, 27.1482790, -2.8493975
-18.8195486, 27.0911955, -2.8526829
-19.0109365, 27.0332291, -2.8395031
-19.2009259, 26.9712044, -2.8110852
-19.3893679, 26.9041911, -2.7915542
-19.5769698, 26.8351137, -2.7888183
-19.7649170, 26.7666833, -2.7955571
-19.9531356, 26.6991865, -2.7982599
-20.1413758, 26.6318041, -2.7969663
-20.3295556, 26.5640994, -2.7956783
-20.5176381, 26.4962795, -2.7955520
-20.7057822, 26.4284997, -2.7960320
-20.8939331, 26.3607902, -2.7962260
-21.0820804, 26.2930922, -2.7961475
-21.2702296, 26.2253699, -2.7960386
-21.4583788, 26.1576275, -2.7959593
-21.6465000, 26.0898857, -2.7959728
-21.8346533, 26.0221541, -2.7961657
-22.0228130, 25.9544777, -2.7964492
-22.2109608, 25.8868114, -2.7961307
-22.3991305, 25.8189901, -2.7950646
-22.5871607, 25.7510241, -2.7948848
-22.7753198, 25.6832710, -2.7975072
-22.9637435, 25.6162272, -2.8014286
-23.1521615, 25.5492256, -2.7966993
-23.3398815, 25.4803571, -2.7814954
-23.5264066, 25.4083025, -2.7661528
-23.7122131, 25.3343573, -2.7612658
-23.8980311, 25.2604174, -2.7651111
-24.0841164, 25.1871890, -2.7678018
-24.2702687, 25.1142186, -2.7677600
-24.4563993, 25.0410789, -2.7666791
-24.6424479, 24.9677900, -2.7660706
-24.8284791, 24.8944301, -2.7659912
-25.0145352, 24.8211276, -2.7667220
-25.2006530, 24.7480489, -2.7682909
-25.3868681, 24.6751570, -2.7680395
-25.5729147, 24.6018615, -2.7639186
-25.7585357, 24.5274893, -2.7572777
-25.9437714, 24.4521395, -2.7538877
-26.1288956, 24.3765248, -2.7543753
-26.3141322, 24.3011550, -2.7557822
-26.4994139, 24.2259573, -2.7561400
-26.6846943, 24.1507363, -2.7557138
-26.8699502, 24.0754471, -2.7554857
-27.0551938, 24.0001448, -2.7555431
-27.2404530, 23.9248593, -2.7556363
-27.4257104, 23.8495829, -2.7556219
-27.6109628, 23.7742967, -2.7555565
-27.7962169, 23.6990084, -2.7556203
-27.9814823, 23.6237445, -2.7558153
-28.1667483, 23.5485037, -2.7557458
-28.3520043, 23.4732023, -2.7552159
-28.5371975, 23.3977907, -2.7547780
-28.7224242, 23.3224374, -2.7559519
-28.9078103, 23.2474522, -2.7586014
-29.0932622, 23.1727059, -2.7572647
-29.2784120, 23.0971109, -2.7495999
-29.4627610, 23.0197050, -2.7392904
-29.6465646, 22.9409261, -2.7351482
-29.8303122, 22.8619750, -2.7371998
-30.0142144, 22.7835035, -2.7388881
