# e7622d06-7972-4834-b543-a9141257631b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_m, y_m, psi_rad
-7.7288024, 29.3504449, 2.8708187
-8.2112003, 29.4781490, 2.8950821
-8.6968123, 29.5938284, 2.9205210
-9.1853828, 29.6969521, 2.9467508
-9.6766380, 29.7870992, 2.9735375
-10.1702237, 29.8639863, 3.0006240
-10.6657690, 29.9274539, 3.0278019
-11.1628854, 29.9774482, 3.0549026
-11.6611791, 30.0140014, 3.0817939
-12.1602573, 30.0372169, 3.1083705
-12.6597342, 30.0472572, 3.1345478
-13.1591663, 30.0443359, -3.1229331
-13.6583937, 30.0287052, -3.0977485
-14.1571495, 30.0006431, -3.0731320
-14.6551252, 29.9604595, -3.0491221
-15.1520452, 29.9084857, -3.0257563
-15.6476337, 29.8450860, -3.0030523
-16.1415528, 29.7706189, -2.9810101
-16.6336827, 29.6855781, -2.9601761
-17.1240163, 29.5906382, -2.9407191
-17.6124745, 29.4864939, -2.9225431
-18.0990278, 29.3737841, -2.9055682
-18.5836688, 29.2531079, -2.8897243
-19.0664076, 29.1250284, -2.8749489
-19.5472718, 28.9900764, -2.8611900
-20.0263035, 28.8487559, -2.8484051
-20.5035589, 28.7015488, -2.8365628
-20.9791066, 28.5489207, -2.8256426
-21.4530298, 28.3913257, -2.8156354
-21.9254224, 28.2292139, -2.8065457
-22.3963968, 28.0630335, -2.7983861
-22.8660902, 27.8932396, -2.7911932
-23.3345180, 27.7203320, -2.7849316
-23.8018892, 27.5447430, -2.7796762
-24.2685955, 27.3668906, -2.7754503
-24.7346516, 27.1871693, -2.7717062
-25.2000510, 27.0058151, -2.7684028
-25.6648957, 26.8230152, -2.7655008
-26.1292415, 26.6389572, -2.7629804
-26.5931569, 26.4538132, -2.7608203
-27.0567030, 26.2677475, -2.7589984
-27.5199363, 26.0809057, -2.7574512
-27.9828936, 25.8933845, -2.7560463
-28.4455948, 25.7052356, -2.7547329
-28.9080547, 25.5164993, -2.7535030
-29.3702877, 25.3272140, -2.7523544
-29.8323081, 25.1374176, -2.7512863
-30.2941299, 24.9471468, -2.7502876
-30.7557562, 24.7564109, -2.7492248
-31.2171377, 24.5650899, -2.7476814
-31.6781587, 24.3729047, -2.7454597
-32.1386831, 24.1795333, -2.7425329
-32.5985721, 23.9846524, -2.7389019
-33.0576838, 23.7879401, -2.7345656
-33.5158734, 23.5890735, -2.7294999
-33.9728955, 23.3875052, -2.7224376
-34.4278700, 23.1813372, -2.7080803
-34.8786338, 22.9661492, -2.6822722
-35.3222195, 22.7367145, -2.6442026
-35.7552866, 22.4880649, -2.5949178
-36.1745187, 22.2168173, -2.5397105
-36.5781653, 21.9228866, -2.4847350
-36.9650871, 21.6072869, -2.4300570
-37.3342638, 21.2710396, -2.3756570
-37.6845748, 20.9153056, -2.3214225
-38.0153359, 20.5410258, -2.2678336
-38.3260238, 20.1492875, -2.2148447
-38.6155312, 19.7415966, -2.1615563
-38.8825684, 19.3191471, -2.1071386
-39.1256676, 18.8827815, -2.0504793
-39.3428273, 18.4330038, -1.9898515
-39.5311027, 17.9698526, -1.9225118
-39.6856820, 17.4931837, -1.8438178
-39.7981040, 17.0043612, -1.7455926
-39.8538923, 16.5116554, -1.6139955
-39.8319866, 16.0128913, -1.4357051
-39.7377933, 15.5263002, -1.3472448
-39.6057192, 15.0537073, -1.2332064
-39.4049120, 14.5907614, -1.0975167
-39.1554211, 14.1578984, -1.0039996
-38.8723267, 13.7477722, -0.9313499
-38.5607711, 13.3563502, -0.8667402
-38.2244792, 12.9840727, -0.8059786
-37.8670509, 12.6329417, -0.7471120
-37.4911222, 12.3044782, -0.6891017
-37.0949101, 11.9970727, -0.6306405
-36.6812377, 11.7130495, -0.5739208
-36.2542232, 11.4514757, -0.5274757
-35.8192881, 11.2073833, -0.4984776
-35.3803117, 10.9724579, -0.4871724
-34.9403355, 10.7392437, -0.4897178
-34.5025591, 10.5024345, -0.5039893
-34.0691135, 10.2563302, -0.5313881
-33.6435426, 9.9940392, -0.5768097
-33.2337001, 9.7102474, -0.6353533
-32.8405116, 9.4015368, -0.6961341
-32.4671549, 9.0695244, -0.7577192
-32.1153022, 8.7150999, -0.8206304
-31.7861830, 8.3379628, -0.8864514
-31.4830909, 7.9386667, -0.9576695
-31.2111869, 7.5176804, -1.0391646
-30.9796354, 7.0761617, -1.1415520
-30.8042709, 6.6044684, -1.3029806
-30.7080162, 6.1257780, -1.4460095
-30.6991078, 5.6307963, -1.6552766
-30.7828526, 5.1355691, -1.8123103
-30.9312902, 4.6584287, -1.9274350
-31.1274137, 4.2003104, -2.0206397
-31.3629452, 3.7593901, -2.1001552
-31.6306618, 3.3362238, -2.1679322
-31.9245621, 2.9309305, -2.2274131
-32.2396167, 2.5444996, -2.2814833
-32.5753390, 2.1742086, -2.3326840
-32.9297184, 1.8209115, -2.3826672
-33.3011559, 1.4858512, -2.4326324
-33.6882636, 1.1701384, -2.4818386
-34.0886665, 0.8724715, -2.5202529
-34.4977002, 0.5873598, -2.5426240
-34.9119762, 0.3069964, -2.5476725
-35.3248273, 0.0252080, -2.5347578
-35.7307600, -0.2649020, -2.5048496
-36.1274895, -0.5708614, -2.4636776
-36.5120276, -0.8935980, -2.4248097
-36.8814690, -1.2231344, -2.3990557
-37.2374563, -1.5706285, -2.3279942
-37.5607567, -1.9519576, -2.2188300
-37.8402848, -2.3639418, -2.1171858
-38.0792811, -2.8014503, -2.0257511
-38.2795194, -3.2593815, -1.9413800
-38.4420419, -3.7322609, -1.8635030
-38.5689040, -4.2157609, -1.7922661
-38.6622814, -4.7066208, -1.7260189
-38.7238928, -5.2023530, -1.6633989
-38.7550449, -5.7009096, -1.6033803
-38.7567219, -6.2004832, -1.5451987
-38.7297175, -6.6993768, -1.4885895
-38.6750791, -7.1960454, -1.4344555
-38.5946020, -7.6890987, -1.3841903
-38.4904277, -8.1775679, -1.3377734
-38.3645517, -8.6608953, -1.2948211
-38.2188106, -9.1386225, -1.2550872
-38.0549329, -9.6104379, -1.2184083
-37.8745567, -10.0761904, -1.1846869
-37.6792558, -10.5358722, -1.1538838
-37.4705591, -10.9896109, -1.1260034
-37.2499578, -11.4376765, -1.1010827
-37.0188786, -11.8805413, -1.0791771
-36.7788233, -12.3186191, -1.0603656
-36.5312512, -12.7525027, -1.0447274
-36.2776085, -13.1828722, -1.0322568
-36.0192390, -13.6104254, -1.0225583
-35.7571767, -14.0357204, -1.0148231
-35.4921029, -14.4591779, -1.0082099
-35.2243255, -14.8807262, -1.0014802
-34.9537807, -15.3002919, -0.9949154
-34.6807617, -15.7184397, -0.9899488
-34.4057228, -16.1353539, -0.9853191
-34.1287661, -16.5509680, -0.9806593
-33.8498627, -16.9652904, -0.9759668
-33.5690151, -17.3782966, -0.9712600
-33.2862243, -17.7899781, -0.9665513
-33.0014982, -18.2003259, -0.9618492
-32.7148467, -18.6093336, -0.9571580
-32.4262809, -19.0169953, -0.9524779
-32.1358109, -19.4233047, -0.9478049
-31.8434447, -19.8282536, -0.9431312
-31.5491865, -20.2318311, -0.9384450
-31.2530350, -20.6340218, -0.9337308
-30.9549821, -21.0348053, -0.9289695
-30.6550118, -21.4341545, -0.9241383
-30.3530987, -21.8320344, -0.9192109
-30.0492067, -22.2284012, -0.9141576
-29.7432880, -22.6232005, -0.9089457
-29.4352821, -23.0163669, -0.9035390
-29.1251145, -23.4078221, -0.8978987
