# bcf4f099-eb53-44a0-8ad3-78c7d36cc635
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-13.3964976, 29.6215050, 3.1032687
-13.5950546, 29.6253593, 3.1360547
-13.7959984, 29.6256564, 3.1393277
-13.9947641, 29.6271831, 3.1303546
-14.1954389, 29.6293343, 3.1333856
-14.3944188, 29.6300661, 3.1403459
-14.5944870, 29.6310255, 3.1303176
-14.7951624, 29.6354467, 3.1119106
-14.9952249, 29.6393973, 3.1412841
-15.1950873, 29.6317734, -3.0570925
-15.3924559, 29.6086150, -3.0060307
-15.5917536, 29.5830354, -3.0348684
-15.7916499, 29.5668424, -3.0680150
-15.9906788, 29.5453964, -2.9794864
-16.1820453, 29.4955258, -2.7899899
-16.3642324, 29.4143124, -2.6716566
-16.5423296, 29.3196360, -2.6497736
-16.7200665, 29.2261672, -2.6633768
-16.8972240, 29.1348518, -2.6661162
-17.0747021, 29.0429033, -2.6610363
-17.2518959, 28.9502247, -2.6589895
-17.4288967, 28.8576217, -2.6605534
-17.6064340, 28.7649918, -2.6601819
-17.7829817, 28.6723484, -2.6558310
-17.9599514, 28.5785614, -2.6547678
-18.1368992, 28.4859659, -2.6663250
-18.3157283, 28.3959273, -2.6795018
-18.4938123, 28.3048385, -2.6501541
-18.6663517, 28.2047375, -2.5768498
-18.8322030, 28.0924825, -2.5233423
-18.9935962, 27.9754669, -2.5122652
-19.1565555, 27.8577736, -2.5190663
-19.3184899, 27.7418287, -2.5204356
-19.4813045, 27.6250407, -2.5183572
-19.6433589, 27.5084347, -2.5176351
-19.8056616, 27.3916581, -2.5183251
-19.9680424, 27.2750846, -2.5196770
-20.1304548, 27.1588810, -2.5212811
-20.2932302, 27.0425341, -2.5201928
-20.4551435, 26.9261264, -2.5162164
-20.6172085, 26.8094007, -2.5207843
-20.7809107, 26.6942215, -2.5377450
-20.9460030, 26.5802059, -2.5283297
-21.1058253, 26.4614710, -2.4681104
-21.2575155, 26.3284346, -2.3727568
-21.3924319, 26.1833158, -2.2641615
-21.5111625, 26.0212026, -2.1397182
-21.6067546, 25.8471742, -2.0043178
-21.6800261, 25.6602814, -1.8997977
-21.7418144, 25.4711891, -1.8893532
-21.8060517, 25.2801193, -1.8833583
-21.8578447, 25.0889068, -1.7693509
-21.8860230, 24.8901309, -1.6731865
-21.9064033, 24.6913606, -1.6887737
-21.9315801, 24.4926411, -1.6927169
-21.9503322, 24.2951503, -1.6345232
-21.9596698, 24.0954540, -1.6094507
-21.9686260, 23.8965626, -1.6232093
-21.9801397, 23.6962326, -1.6318192
-21.9921115, 23.4982190, -1.6271775
-22.0013233, 23.2967692, -1.6026662
-22.0027832, 23.0978145, -1.5462846
-21.9885066, 22.8977901, -1.4464295
-21.9565438, 22.7016628, -1.3870988
-21.9211301, 22.5036702, -1.4126423
-21.8910196, 22.3064463, -1.4118730
-21.8524036, 22.1099843, -1.3293467
-21.7982085, 21.9187409, -1.2750663
-21.7414280, 21.7256279, -1.3080212
-21.6906675, 21.5320572, -1.2991668
-21.6259715, 21.3431943, -1.1603502
-21.5321466, 21.1679736, -1.0190346
-21.4234565, 20.9990864, -0.9985600
-21.3186431, 20.8282145, -1.0384110
-21.2186048, 20.6555800, -1.0474007
-21.1178483, 20.4832878, -1.0364441
-21.0155622, 20.3113831, -1.0330829
-20.9134760, 20.1396779, -1.0357652
-20.8116368, 19.9676095, -1.0366115
-20.7101099, 19.7961879, -1.0353068
-20.6080296, 19.6245629, -1.0329947
-20.5055628, 19.4533450, -1.0298562
-20.4027388, 19.2829977, -1.0253534
-20.2977083, 19.1110273, -1.0194889
-20.1935682, 18.9428133, -1.0134477
-20.0861104, 18.7715587, -1.0074132
-19.9798030, 18.6043420, -1.0016215
-19.8713318, 18.4358729, -0.9958922
-19.7617380, 18.2677631, -0.9902930
-19.6522671, 18.1018066, -0.9851329
-19.5403545, 17.9339762, -0.9803070
-19.4292743, 17.7690401, -0.9759680
-19.3168769, 17.6036172, -0.9720958
-19.2032265, 17.4376578, -0.9686556
-19.0902595, 17.2738153, -0.9657575
-18.9760553, 17.1091126, -0.9633597
-18.8615739, 16.9447650, -0.9614623
-18.7471456, 16.7810639, -0.9600999
-18.6322059, 16.6170164, -0.9592567
-18.5172610, 16.4531655, -0.9589296
-18.4023845, 16.2894356, -0.9591222
-18.2877173, 16.1258465, -0.9598360
-18.1727115, 15.9614332, -0.9610715
-18.0583789, 15.7974627, -0.9628184
-17.9445129, 15.6334590, -0.9650970
-17.8303413, 15.4681253, -0.9678537
-17.7175691, 15.3037773, -0.9710364
-17.6047447, 15.1381380, -0.9747213
-17.4924598, 14.9718863, -0.9789239
-17.3823231, 14.8072395, -0.9836363
-17.2708750, 14.6388269, -0.9887518
-17.1616750, 14.4719918, -0.9937046
-17.0533061, 14.3046459, -0.9985044
-16.9449825, 14.1356774, -1.0028132
-16.8387684, 13.9685501, -1.0063923
-16.7312712, 13.7981491, -1.0095928
-16.6255129, 13.6293384, -1.0126389
-16.5196971, 13.4593099, -1.0155440
-16.4145007, 13.2892290, -1.0181636
-16.3100766, 13.1194646, -1.0204691
-16.2053558, 12.9483679, -1.0226294
-16.1019773, 12.7786686, -1.0246463
-15.9977181, 12.6068320, -1.0260690
-15.8947289, 12.4367365, -1.0264761
-15.7907991, 12.2649643, -1.0272664
-15.6879901, 12.0942756, -1.0305012
-15.5852827, 11.9224076, -1.0322706
-15.4823304, 11.7514470, -1.0233942
-15.3771048, 11.5812170, -1.0159415
-15.2740942, 11.4100778, -1.0493925
-15.1804068, 11.2335178, -1.1185712
-15.0993973, 11.0508661, -1.1874862
-15.0306160, 10.8630115, -1.2494238
-14.9715648, 10.6720235, -1.2882180
-14.9175421, 10.4794298, -1.3033777
-14.8650661, 10.2866492, -1.3045449
-14.8117960, 10.0940963, -1.2992444
-14.7597835, 9.9011292, -1.3211701
-14.7148938, 9.7066526, -1.3664484
-14.6772627, 9.5103570, -1.3921077
-14.6425643, 9.3139682, -1.4001387
-14.6105082, 9.1166098, -1.4222743
-14.5845163, 8.9188102, -1.4604567
-14.5674706, 8.7193892, -1.5128994
-14.5619358, 8.5197723, -1.5704348
-14.5652047, 8.3197251, -1.5983806
-14.5709932, 8.1199135, -1.5986376
-14.5761608, 7.9201658, -1.5945340
-14.5804624, 7.7202184, -1.5909131
-14.5850441, 7.5206567, -1.5988801
-14.5926212, 7.3201365, -1.6208748
-14.6066777, 7.1210003, -1.6661596
-14.6325265, 6.9223184, -1.7384349
-14.6719443, 6.7269938, -1.7933787
-14.7177126, 6.5317706, -1.8009610
-14.7614612, 6.3370656, -1.7842971
-14.8031964, 6.1413666, -1.7795925
-14.8450036, 5.9461028, -1.7841102
-14.8876151, 5.7507767, -1.7865472
-14.9304455, 5.5553240, -1.7861913
-14.9730746, 5.3603206, -1.7860036
-15.0159534, 5.1644477, -1.7867670
-15.0587709, 4.9697878, -1.7878208
-15.1020011, 4.7741530, -1.7887006
-15.1452177, 4.5793371, -1.7895149
-15.1887062, 4.3841389, -1.7905356
-15.2323841, 4.1891297, -1.7918051
-15.2762581, 3.9946551, -1.7936771
-15.3209364, 3.7986363, -1.7962203
-15.3655516, 3.6053627, -1.7991409
-15.4112630, 3.4100581, -1.8023130
-15.4574124, 3.2157334, -1.8056025
-15.5041545, 3.0216875, -1.8087134
-15.5518748, 2.8261799, -1.8116541
-15.5995565, 2.6331996, -1.8143640
-15.6481347, 2.4387820, -1.8169009
-15.6971126, 2.2447789, -1.8192341
-15.7463949, 2.0513525, -1.8212624
-15.7963152, 1.8569511, -1.8229989
-15.8462537, 1.6637468, -1.8244154
-15.8965472, 1.4701679, -1.8255010
-15.9470911, 1.2763607, -1.8262617
-15.9976417, 1.0829953, -1.8266777
-16.0482736, 0.8895098, -1.8267447
-16.0989245, 0.6958670, -1.8264653
-16.1494634, 0.5022984, -1.8258491
-16.1997376, 0.3091230, -1.8248939
-16.2500370, 0.1149545, -1.8236031
-16.2998761, -0.0785892, -1.8220014
-16.3493437, -0.2721031, -1.8200772
-16.3986299, -0.4665759, -1.8178958
-16.4471335, -0.6598162, -1.8154991
-16.4954821, -0.8545193, -1.8128511
-16.5431633, -1.0488178, -1.8099975
-16.5900246, -1.2422462, -1.8069344
-16.6367760, -1.4378877, -1.8038011
-16.6824253, -1.6315549, -1.8007728
-16.7277880, -1.8265924, -1.7979643
-16.7725785, -2.0213304, -1.7959065
-16.8169046, -2.2155114, -1.7946660
-16.8612514, -2.4106464, -1.7939239
-16.9053723, -2.6052790, -1.7935770
-16.9495349, -2.8002685, -1.7934829
-16.9936755, -2.9952262, -1.7934310
-17.0377960, -3.1901223, -1.7934273
-17.0819325, -3.3850542, -1.7935124
-17.1261163, -3.5800754, -1.7936906
-17.1702814, -3.7748324, -1.7938989
-17.2145737, -3.9699641, -1.7941021
-17.2588191, -4.1647086, -1.7942984
-17.3031546, -4.3596765, -1.7944865
-17.3475362, -4.5546812, -1.7946633
-17.3918902, -4.7494220, -1.7947994
-17.4363920, -4.9447105, -1.7948881
-17.4807445, -5.1392732, -1.7949722
-17.5252295, -5.3343211, -1.7951018
-17.5697102, -5.5292204, -1.7952297
-17.6141749, -5.7240350, -1.7951104
-17.6586791, -5.9192567, -1.7947031
-17.7028735, -6.1139784, -1.7928816
-17.7465822, -6.3092112, -1.7888378
-17.7893560, -6.5044285, -1.7854433
-17.8324905, -6.6995767, -1.7932468
-17.8783895, -6.8944121, -1.8124021
-17.9263580, -7.0885634, -1.8059605
-17.9685616, -7.2839238, -1.7534436
-17.9968365, -7.4815202, -1.6765068
-18.0136512, -7.6808826, -1.6409828
-18.0279095, -7.8805627, -1.6497791
-18.0454396, -8.0801313, -1.6650178
-18.0647053, -8.2787131, -1.6679372
